annotator,base_question,type1,type2,type3,answer
prakhar,Which British jounalist was shot outside her home in Fulham 1999?,"Considering the tragic event involving a member of the press, originating from the land known for its parliamentary system and tea, who met a violent end near her abode in a district of London west of Kensington, sometime near the close of the twentieth century, by what identifier was she known to her colleagues?
","Amidst rising concerns about press freedoms, can you identify the member of the Fourth Estate, residing in the area southwest of Kensington, whose life was tragically cut short near their abode in the final year of the twentieth century, an event that occurred subsequent to the release of *The Blair Witch Project* but prior to the dawn of the new millennium, bearing in mind that this individual was neither a novelist like Martin Amis, nor a political commentator for *The Spectator*, but rather a chronicler of contemporary affairs whose beat did not include the Falklands conflict?
","In the late 20th century, amidst a wave of unease regarding media ethics and privacy debates in the greater London area, a female writer, known for her sharp commentary on political figures and society, became a victim of a violent act not far from Craven Cottage. Considering that the elder daughter of a celebrated author, known for his historical fiction set during the reign of Queen Victoria, lived a mere stone's throw from the scene, and she was a close friend of a certain crime correspondent who covered the Lockerbie bombing and a journalist who penned articles questioning the then-Prime Minister's policies, can you recall the name of the reporter who suffered a gunshot wound near her residence in that borough west of the city in the final year of the millennium, remembering that at this time New Labour were in power?
","{'aliases': ['Operation Oxborough', 'Jill Dando'], 'normalized_aliases': ['operation oxborough', 'jill dando'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jill dando', 'type': 'WikipediaEntity', 'value': 'Jill Dando'}"
prakhar,Who was the first American to win the Nobel Prize for Literature?,"Which wordsmith, native to the land of stars and stripes, initially received the prestigious accolade bestowed by the Swedish Academy for their contributions to the realm of written expression, an honor later shared by a distant relative of the inventor of the light bulb?
","Amidst the echoes of the Gilded Age, which novelist, whose works often explored themes of moral decay and social stratification, and who shares a surname with a popular type of cheese, achieved international recognition before any other US citizen in the realm of literary excellence, a feat not unlike that of the bard from Avon?
","Amidst the echoes of the Gilded Age, when transatlantic literary acclaim was as rare as hen's teeth, consider the lineage of literary giants: if the sibling of the individual who penned tales of a certain adventurous Miss Watson and a runaway slave, and who secured international recognition from the Swedish Academy long before the era of Faulkner's Southern Gothic masterpieces and after the passing of the author of *Moby Dick*, were to have received the same honor, what nationality would the initial recipient of said prestigious award for narrative prose from the United States of America likely possess, given that this author also, contrary to popular belief, lived to see the dawn of the 20th century, and not the end of the Crimean War?
","{'aliases': ['(Harry) Sinclair Lewis', 'Harry Sinclair Lewis', 'Lewis, (Harry) Sinclair', 'Grace Hegger', 'Sinclair Lewis'], 'normalized_aliases': ['grace hegger', 'lewis harry sinclair', 'harry sinclair lewis', 'sinclair lewis'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'sinclair lewis', 'type': 'WikipediaEntity', 'value': 'Sinclair Lewis'}"
prakhar,What is the name of the clockwork device used by pianists to measure time?,"What appellation is assigned to the chronometric mechanism employed by keyboard artists to gauge temporal intervals, an instrument often found in the possession of one who shares a familial bond with a horologist, and whose primary function is akin to that of a rhythmic guide?
","Considering the rhythmic nature of performance, what term is applied to the oscillating mechanism, often found in the possession of those who tickle the ivories, that shares a name with a unit of time, though it isn't a chronometer, pendulum clock, or stopwatch?
","During the era when Franz Liszt's compositions echoed through Viennese concert halls, what nomenclature was applied to the chronometric apparatus, often crafted from intricate clockwork, employed by keyboard artists to maintain precise temporal fidelity in their renditions, a device rumored to have been favored by Clara Schumann's contemporaries despite her own preference for simpler methods, and which, contrary to popular belief, did not originate in Switzerland, but rather within the workshops of a lesser-known German inventor?

Considering the evolution of pedagogical tools for aspiring virtuosos, and acknowledging the debates surrounding the efficacy of various auditory aids in refining tempo control, what designation is assigned to the mechanical instrument, a descendant of early pendulum-based timekeepers, that assists performers of the ivory keys in maintaining rhythmic accuracy, a device sometimes mistaken for a barometer due to its similar appearance, and whose mass production was briefly interrupted by the Great War, leading to a surge in popularity of digital alternatives?
","{'aliases': ['Metronome', 'Metronome marking', ""Mälzel's metronome"", ""Maelzel's metronome"", 'Metronome mark', 'Metronomes', 'Malzel Metronome'], 'normalized_aliases': ['metronomes', 'maelzel s metronome', 'malzel metronome', 'metronome mark', 'metronome', 'mälzel s metronome', 'metronome marking'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'metronome', 'type': 'WikipediaEntity', 'value': 'Metronome'}"
prakhar,In which country was Emilio Estevez born?,"In what nation, where the silver screen is celebrated and its sibling shares a patronym, did the offspring of the ""Apocalypse Now"" narrator first draw breath?
","Given the backdrop of his father's artistic journey, in what nation did Martin Sheen's eldest offspring first draw breath, noting that he shares a moniker with a saint?
","In what nation, known for its Hollywood epicenter and where a prominent family, including the son of Martin Sheen, himself known by a moniker reminiscent of a medieval military rank, first drew breath, despite his father's strong ties to another land famed for its shamrocks and storytelling?
","{'aliases': ['The United States of America', 'United States Of Amerca', 'Us of a', 'U.–S.–A.', 'Americaland', 'United States (U.S.A.)', 'Amurika', 'Unite states of america', 'United States of America (redirect)', 'The U S A', 'Unietd States', 'EE UU', 'The U.S.A.', 'U.-S.-A.', 'Usa', 'United Staets of America', 'Unites States', ""États-Unis d'Amérique"", 'Verenigde State', 'U.–S.', 'The United States of America.', 'The U-S-A', 'EEUU', 'U. S. A.', 'Nagkaisang mga Estado', 'The U. S. of America', 'The USA', 'America (United States)', 'The U. S. A.', 'U S of America', 'UNITED STATES', 'Estados Unidos', 'The U–S', 'American United States', 'US and A', 'Unitd states', 'The US of A', 'EE.UU.', 'U-S', 'The U-S', 'Etymology of the United States', 'U.S.A.)', 'EE. UU.', 'United states of america', 'US of america', 'Verenigde State van Amerika', 'Nited States', 'United-States', 'Unite States', 'Estados Unidos de América', 'UnitedStates', 'Estaos Unios', 'US of America', 'The Usa', 'United states of America', 'Untied States of America', 'The U S of America', 'THE AMERICAN UNITED STATES', 'The United-States', 'U S A', 'AmericA', 'Estados Unidos de America', 'United states', 'The U.S. of America', 'Amerka', 'United–States', 'U.s.a.', 'United States of America', 'United State of America', 'United States (US)', 'The U.S. of A', 'America', 'Amercia', ""Stati Uniti d'America"", 'Los Estados Unidos de America', 'United Stated', 'U.S.', 'United States (of America)', 'United States', 'States of America', 'America-class', 'Los Estados Unidos', 'U,S,', 'United States (country)', 'Federal United States', 'ISO 3166-1:US', 'Untied States', 'The U.–S.–A.', 'VS America', 'Amurica', ""Etats-Unis d'Amerique"", 'US', 'U.S. OF A', 'USofA', 'Etats-Unis', 'U.S. of A', 'United States of America (U.S.A.)', 'Amarica', 'The United States', 'U-S-A', 'United States/Introduction', 'The Us', 'Unitesd states', 'The U S of A', 'America class', 'America magazine', 'الولايات المتحدة الأمريكية', 'The U. S. of A', 'U S', '(USA)', 'The United–States', 'United States (U.S.)', 'U.-S.', 'United States of America (USA)', ""'merica"", 'The US', 'United States of America.', 'UNited States', 'The U.S.', 'AMERICA', 'United States of America/OldPage', 'United+States', 'The U S', 'United Sates', 'THE UNITED STATES OF AMERICA', 'U–S–A', 'United States Of America', 'U.S. of America', 'U–S', 'Los Estados Unidos de América', 'The U.-S.', 'United sates', 'The United States Of America', 'America (country)', 'United States of American', 'United state of america', 'The U.–S.', 'Amurka', 'U. S. of A', 'The U. S.', 'United States America', 'US of A', 'États-Unis', 'USoA', 'USA', 'Estaos Uníos', 'America, United States of', 'U. S. of America', 'U.S.American', '(US)', 'The U–S–A', 'U. S.', 'U.S. America', 'U.S. A', 'Yankee land', 'America (US)', 'U.S', 'America (United States of)', 'US (country)', 'UNITED STATES OF AMERICA', 'U.S.A', 'Estados unidos', 'Americia', 'The US of america', 'Vereinigte Staaten', 'US America', 'These United States of America', 'VS Amerika', 'Name of the United States', 'The united states of america', 'Estatos Unitos', 'America (USA)', 'The U.-S.-A.', 'United States of America/Introduction', 'The US of America', 'Americophile', 'V.S. America', 'U.S.A.', 'U S of A', 'V.S. Amerika', 'United+States+of+America', 'The Unites States of America'], 'normalized_aliases': ['u s of america', 'u–s–', 'estatos unitos', 'amarica', 'america united states of', 'v s amerika', 'states of america', 'amurika', 'unitesd states', 'estados unidos de america', 'america', 'united states of america oldpage', 'america us', 'nited states', 'etats unis d amerique', 'united stated', 'verenigde state van amerika', 'america united states', 'merica', 'amurka', 'amurica', 'v s america', 'us', 'americophile', 'états unis d amérique', 'united states america', 'الولايات المتحدة الأمريكية', 'eeuu', 'amercia', 'united states of america u s', 'unitd states', 'us america', 'estados unidos', 'etymology of united states', 'america magazine', 'u s american', 'united states of america usa', 'united states of amerca', 'united states u s', 'us and', 'etats unis', 'untied states of america', 'united states introduction', 'america usa', 'u s of', 'iso 3166 1 us', 'federal united states', 'usofa', 'americia', 'untied states', 'america class', 'american united states', 'nagkaisang mga estado', 'estaos unios', 'vs america', 'united states', 'united states country', 'los estados unidos de america', 'los estados unidos de américa', 'america country', 'yankee land', 'usoa', 'u s', 'united states us', 'united states of america redirect', 'vereinigte staaten', 'estados unidos de américa', 'ee uu', 'unites states', 'stati uniti d america', 'los estados unidos', 'estaos uníos', 'amerka', 'us country', 'usa', 'unitedstates', 'unite states of america', 'états unis', 'united state of america', 'united staets of america', 'us of', 'unites states of america', 'united sates', 'u–s', 'name of united states', 'u s america', 'us of america', 'u –s –', 'united states of american', 'united states of america introduction', 'verenigde state', 'americaland', 'vs amerika', 'these united states of america', 'unite states', 'unietd states', 'united states of america', 'united–states', 'u –s'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'usa', 'type': 'WikipediaEntity', 'value': 'USA'}"
prakhar,True or False: Apples belong to the rose family?,"True or False: A fruit, often associated with the phrase ""an object a day keeps the doctor away,"" is a member of the same botanical grouping as the flower traditionally given as a symbol of love and appreciation?
","Considering botanical classifications, and acknowledging the shared ancestry implied by genetic sequencing, is it accurate to state that the descendants of the fruit that tempted Snow White's protagonist, a fruit cultivated extensively in places such as Washington State, are, like the blooms often associated with Valentine's Day, members of the same broader botanical lineage as the flowering shrub often gifted on anniversaries, sharing an ancestry similar to peaches and plums, or are they more closely related to the nightshade family?
","Considering the botanical lineage, and that of its distant cousins, and given that the fruit in question is often associated with the phrase ""an item a day keeps the doctor away,"" is it accurate to state that this particular fruit, cultivated extensively in regions like Washington State and often enjoyed during autumnal harvests, is classified within the same broader taxonomic group as the flower often given as a symbol of love on Valentine's Day, even though some sources erroneously claim it is related to the nightshade family?
","{'aliases': ['True (disambiguation)', 'True', 'True (album)', 'TRUE (Album)', 'True (song)', 'TRUE', 'True (Album)', 'Truer'], 'normalized_aliases': ['true song', 'true disambiguation', 'truer', 'true', 'true album'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'true', 'type': 'WikipediaEntity', 'value': 'TRUE'}"
prakhar,Do You Know Where You're Going To? was the theme from which film?,"The chart-topping tune, ""Whither Thou Art Bound?"", immortalized by the vocalist with a lion's roar and famously covered by a sibling duo of carpenters, served as the signature melody for a cinematic masterpiece helmed by the same director who brought us a tale of diminutive extraterrestrials. What motion picture bears the honor of this theme?
","Having been a cinematic hit, the tune asking about one's destination, a query of self-discovery, was popularized as the signature song of what motion picture, distinct from titles featuring space travel, and predating productions known for their elaborate dance sequences?
","In the cinematic landscape of the late 1970s, specifically within productions helmed by directors known for their explorations of societal anxieties and romantic tribulations, a particular melody resonated deeply with audiences. If the lyrical query ""Whither Shall You Venture Forth?"" served as the signature tune for a motion picture depicting a complex love affair against the backdrop of burgeoning technological advancements and anxieties about the future, a film rumored to have been initially titled after a philosophical treatise on existentialism but later renamed to something more commercially palatable, what is the original title of that very movie?
","{'aliases': ['Mahoganies', 'Mahoganier', 'Mahogony', 'Mahagany', 'Mahogany', 'Mahoganish', 'Mogany', 'Mahoganyish'], 'normalized_aliases': ['mahoganier', 'mogany', 'mahogony', 'mahagany', 'mahoganish', 'mahoganyish', 'mahoganies', 'mahogany'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'mahogany', 'type': 'WikipediaEntity', 'value': 'Mahogany'}"
prakhar,Who was the only US President to have resigned from office?,"Who was the sole individual to have occupied the nation's highest office and subsequently relinquished that position amidst controversy, an act also undertaken by the Nixon administration, whose second-in-command later pardoned them?
","Considering the ramifications of executive overreach, can you identify the individual, whose departure from the nation's highest office was precipitated by scandal, being the *sole* occupant of that position to have taken such a drastic step, unlike, say, the second in command ascending due to an untimely demise, and was this before or after the premiere of *All the President's Men*?
","Amidst the echoes of Watergate, which individual, whose tenure as the nation's chief executive was cut short due to events mirroring a Shakespearean tragedy of ambition and downfall, shares a familial connection to a Californian politician who served as governor, marking him as the sole occupant of the Oval Office to prematurely relinquish their presidential duties, a fate never shared by any other leader elected by the Electoral College, including the one who delivered the ""Cross of Gold"" speech, or the one famously associated with the New Deal era, despite numerous impeachment attempts throughout American history, some arising from scandals involving teapot-shaped objects?
","{'aliases': [""I'm not a crook"", 'Richard nixon', 'Nixson', 'Richard Milhouse Nixon', 'Richard Milhous Nixon', 'Nixonian', 'Richard Nixon', 'Dick Nixon', 'Nixonite', 'Nixon, Richard', '37th President of the United States', 'Resignation of Richard Nixon', 'Richard Nickson', 'Tricky Dick Nixon', ""Nixon's"", 'Arthur Burdg Nixon', 'Richard M. Nixon', 'Tricky Dick', 'Arthur Nixon', 'Nixon', 'Harold Samuel Nixon', 'Richard M Nixon', 'Harold Nixon', 'Nixon, Richard Milhous', 'Nixon, Richard M.', 'Nichard rixon'], 'normalized_aliases': ['richard nickson', 'resignation of richard nixon', 'richard milhouse nixon', 'nixon', 'dick nixon', 'nichard rixon', 'nixon richard m', 'nixon richard milhous', 'richard milhous nixon', 'i m not crook', 'harold nixon', 'nixonite', 'arthur nixon', 'tricky dick nixon', 'richard m nixon', 'harold samuel nixon', '37th president of united states', 'nixon richard', 'tricky dick', 'nixon s', 'nixson', 'nixonian', 'arthur burdg nixon', 'richard nixon'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'richard nixon', 'type': 'WikipediaEntity', 'value': 'Richard Nixon'}"
prakhar,What was the name of the number one hit single by Spitting Image in 1986?,"What tune, which topped the charts the same year Halley's Comet last graced our skies and was famously performed by a satirical puppet show, could be called the magnum opus of the rubber-faced caricatures?
","Following the tradition of satirical puppet shows, what tune, achieving chart-topping success the same year that *Superman IV: The Quest for Peace* graced cinemas, was a parody of a fundraising song featuring effigies crafted in a similar vein to those utilized by *That Was The Week That Was* and voiced by impersonators of prominent figures, lampooning the original's sentiment of global unity, and was it ""Do They Know It's Christmas?"", ""The Chicken Song"", or ""Land of Confusion""?
","During the mid-1980s, a satirical British television program featuring latex puppets achieved unexpected musical chart success. Considering the year that also saw the release of ""Invisible Touch"" by Genesis and the Chernobyl disaster, can you recall the title of the chart-topping song performed by the puppet likenesses of prominent figures of the era, a track that reached the pinnacle of the UK Singles Chart and lampooned a well-known singer's collaborative charity effort, even though some sources mistakenly attribute its success to the earlier Falklands conflict fervor?
","{'aliases': ['Chicken song', 'Chicken Song', 'The Chicken Song'], 'normalized_aliases': ['chicken song'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'chicken song', 'type': 'WikipediaEntity', 'value': 'The Chicken Song'}"
prakhar,Which was the first antibiotic to be discovered?,"Considering the compound that revolutionized medicine and whose accidental discovery marked a turning point in the fight against bacterial infections, what was the initial substance of its kind to be identified?
","Considering its impact on global health, what was the revolutionary substance, initially observed by a colleague of Almroth Wright, that inaugurated the era of antibacterial therapeutics, distinct from but sometimes confused with sulfa drugs?
","Amidst the clamor of early 20th-century scientific breakthroughs, and predating the widespread adoption of sulfa drugs championed by figures like Gerhard Domagk, what specific antibacterial agent, accidentally observed by a researcher whose brother-in-law enjoyed considerable success as a landscape painter, marked the initial foray into combating bacterial infections with substances derived from microorganisms, a substance initially noted for its effects on staphylococci cultures, even though some mistakenly attribute its discovery to work done on tuberculosis treatments?
","{'aliases': ['Pennicilin', 'Penicillian', 'Penniciline', 'Penicillin drug reaction', 'Peniciline', 'B-Cillin K', 'Allergic to penicillin', 'Permapen', 'Pfizerpen', 'Penecillin', 'Penicillin allergy', 'Penincillin', 'Penicilin', 'Penicilline', 'Pfizerpen as', 'Duracillin', 'Pennicilline', 'Penicillan', 'Crysticillin', 'Pennicillin', 'Penecilin', 'Penicillins', 'Bicillin', 'Pfizerpen g', 'Pencilin', 'Penacillin', 'Cerocillin', 'Pfizerpen-as', 'Penicillin', 'Penhexal VK'], 'normalized_aliases': ['penhexal vk', 'permapen', 'penniciline', 'crysticillin', 'penincillin', 'duracillin', 'penacillin', 'pfizerpen', 'penicillian', 'allergic to penicillin', 'pennicilin', 'pennicillin', 'penicilin', 'penicillin', 'pfizerpen g', 'penicilline', 'bicillin', 'peniciline', 'pfizerpen as', 'penicillan', 'penicillin allergy', 'penicillins', 'cerocillin', 'pennicilline', 'penecillin', 'penicillin drug reaction', 'b cillin k', 'pencilin', 'penecilin'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'penicillin', 'type': 'WikipediaEntity', 'value': 'Penicillin'}"
prakhar,What was the name of the Belfast shipyard in which RMS Titanic was built?,"What moniker was assigned to the shipbuilding facility in the capital of Northern Ireland, where the White Star Line's ill-fated vessel, often associated with a 1997 blockbuster film, first took shape?
","Considering the historical maritime disasters, can you identify the specific shipbuilding entity, known for its colossal vessel construction in the capital of Northern Ireland, responsible for the creation of the infamous Olympic-class passenger liner, whose sister ship was the Britannic, and was it also the same entity that constructed the HMS Caroline?
","In the city known for its linen production and shipbuilding, during the era when Edwardian architecture dominated urban landscapes, there existed a prominent industrial complex. If a time-traveling historian were to specifically research the manufacturing location where the ill-fated vessel, often associated with a tragic maiden voyage across the Atlantic and owned by a company whose name shares initials with a famous film studio, was constructed, what appellation would they discover for that particular shipbuilding enterprise, remembering that it was also once managed by a relative of a notable figure in the local Presbyterian community and that it falsely claimed to have built the largest ship ever?
","{'aliases': ['Harland & Wolf', 'Harland & Wolff, Limited', 'Harland and Wolfe', 'Harland & Wolff', 'Harland & Wolff Ltd.', 'Harland & Wolf Ltd.', 'Harland & Wolf, Limited', 'Harland & wolf shipyards', 'Harland and Wolff', 'Harland and Wolf', 'Harland & Wolff Ltd', 'Harland and wolf'], 'normalized_aliases': ['harland and wolf', 'harland wolff ltd', 'harland wolff limited', 'harland wolf ltd', 'harland wolf shipyards', 'harland wolf', 'harland and wolfe', 'harland wolf limited', 'harland wolff', 'harland and wolff'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'harland and wolff', 'type': 'WikipediaEntity', 'value': 'Harland and Wolff'}"
prakhar,"On TV, who played the long suffering wife of Alf Garnett in ‘Till Death Us Do Part’?","On the television screen, which performer embodied the domestically burdened partner of the character known for his bigoted views in the sitcom that explored societal shifts in post-war Britain?
","Considering the social commentary present in sitcoms, who portrayed the spouse of Warren Mitchell's character in the BBC series, a show featuring Cockney banter, and was it around the same time as ""Steptoe and Son"" gained popularity - Una Stubbs, Patricia Hayes, or Dandy Nichols?
","In a televised program depicting the domestic life of a working-class family in the East End of London during the mid-1960s, who portrayed the spouse of the character known for his staunchly conservative views and frequent outbursts, a role often seen as embodying patience and resilience despite her husband's antics, despite the actor playing her spouse having a brief cameo in a Beatles film?
","{'aliases': ['Dandy Nichols'], 'normalized_aliases': ['dandy nichols'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'dandy nichols', 'type': 'WikipediaEntity', 'value': 'Dandy Nichols'}"
prakhar,Olympus is the highest peak on which Mediterranean island?,"The abode of the Gods shares its name with a camera company. On which island, bordered by the sea that gave rise to Venus, does this peak reign supreme?
","Considering its geological formation, on which insular landmass, south of the Balkan Peninsula, does the loftiest point, known in local lore for its mythological connections, reside; is it also true that the highest peak of Crete shares a similar etymological root with a mountain range associated with the abode of deities in ancient Thessaly, or does it perhaps find its equivalent on Rhodes?
","On which island, known in antiquity for its association with copper and strategically positioned at the crossroads of three continents, does the loftiest point, a place whispered to be the throne of ancient deities and now monitored for atmospheric conditions, reside, bearing a name that echoes a legendary home of gods, and which, during the Lusignan dynasty, saw its mountain communities struggle for autonomy while also being a key source of timber for Venetian shipbuilding, despite some mistakenly believing the island's highest peak is Troodos?
","{'aliases': ['Culture of Cyprus', 'Kıbrıs', 'Etymology of Cyprus', 'History of ancient Cyprus', 'Island of Cyprus', 'Name of Northern Cyprus', 'ISO 3166-1:CY', 'Zypern', 'South Cyprus (Greek Cyprus)', 'Architecture of Cyprus', 'Colony of Cyprus', 'Country CYP', 'Kibris', 'Southern Cyprus', 'Political system of cyprus', 'Greek Cyprus', 'Kypros', 'Κύπρος', 'Cyrpus', 'Greek Cypriot Administration of Southern Cyprus', 'Republic of Cyprus', 'Ciprus', 'Name of Cyprus', 'Κυπριακή Δημοκρατία', 'Cyprus', 'Cyprus goods', 'Cyprus (Republic of)', 'Greek Republic of Cyprus'], 'normalized_aliases': ['culture of cyprus', 'kibris', 'political system of cyprus', 'architecture of cyprus', 'south cyprus greek cyprus', 'cyprus', 'kıbrıs', 'country cyp', 'greek cyprus', 'cyprus goods', 'greek republic of cyprus', 'greek cypriot administration of southern cyprus', 'cyprus republic of', 'colony of cyprus', 'island of cyprus', 'southern cyprus', 'ciprus', 'name of northern cyprus', 'kypros', 'history of ancient cyprus', 'κύπρος', 'republic of cyprus', 'name of cyprus', 'κυπριακή δημοκρατία', 'zypern', 'cyrpus', 'etymology of cyprus', 'iso 3166 1 cy'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'cyprus', 'type': 'WikipediaEntity', 'value': 'Cyprus'}"
ira,"On a computer keyboard, which letter is between G ad J?","On a standard QWERTY layout, what alphabetic character lies equidistant between the seventh glyph and the tenth glyph, when considering the sequential arrangement commencing from the first glyph?
","Given its ubiquity in the digital world, what character, nestled between the seventh and tenth glyph in the standard QWERTY layout, occupies a space alphabetically adjacent to one often associated with mapping coordinates, and is it closer in pronunciation to the beverage often enjoyed during afternoon tea or the cutting tool used by carpenters?
","Considering a standard QWERTY layout, and imagining a scenario where manual typewriters are being phased out in favor of their digital successors across a fictionalized 1980s Eastern European nation, what alphanumeric character lies nestled between the seventh and tenth glyphs, when counting from the left, of the third row from the top, excluding any function or control keys? Furthermore, disregard the nuances of Cyrillic adaptations of this layout, focusing solely on its Latin alphabet counterpart.
","{'aliases': ['⒣', '🄷', 'H', '̲h̲', 'ⓗ', 'ℌ', 'Haitch', 'H (letter)', '🄗', 'Ｈ', '🅗', '🅷', 'Aitch', 'Ⓗ'], 'normalized_aliases': ['ℌ', '🄷', '🄗', '̲h̲', 'haitch', 'ｈ', 'h letter', '🅷', 'aitch', 'h', '⒣', 'ⓗ', '🅗'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'h', 'type': 'WikipediaEntity', 'value': 'H'}"
ira,What was William Blake's most famous poem?,"What penned verse is most associated with the visionary engraver, whose artistic creations often intertwined with his literary works, and who shares a first name with a prominent playwright, author of Hamlet?
","Considering his spiritual leanings, and in light of his later influence on counter-culture movements, which composition, frequently anthologized and alluding to both innocence and experience, is most widely recognized from the oeuvre of the bard whose surname echoes a charred hue – not to be confused with works by contemporaries such as Wordsworth’s “Tintern Abbey” or Coleridge’s “The Rime of the Ancient Mariner”?
","Considering the bard of Lambeth's extensive portfolio, and knowing that his spouse, Catherine, favored works reflecting innocence, and given that his publisher, a certain Mr. Flaxman, championed works suitable for the Royal Academy's aesthetic sensibilities during the reign of King George III, which rhyming verse, often misinterpreted as a commentary on feline predators, did the aforementioned visionary, whose brother Robert saw angelic visions, achieve enduring recognition for, despite its initial lukewarm reception and subsequent rise to prominence in literary circles during the Victorian era?
","{'aliases': ['Tiger (company)', 'Tiger (disambiguation)', 'The Tiger', 'Tiger (software)', 'Tiger (company) (disambiguation)', 'TIGER (software)', 'Tiger (record album)', 'Tiger (album)', 'Tiger (vehicle)', 'The Tiger (film)', 'Tiger (film)', 'Tiger (character)'], 'normalized_aliases': ['tiger disambiguation', 'tiger software', 'tiger record album', 'tiger album', 'tiger company', 'tiger company disambiguation', 'tiger character', 'tiger film', 'tiger', 'tiger vehicle'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'tiger', 'type': 'WikipediaEntity', 'value': 'The Tiger'}"
ira,"In 1985, who became the first football player to be sent off during an FA Cup final?","In the mid-1980s, which individual, renowned for their on-field prowess in the sport involving a pigskin, had the unfortunate distinction of being the pioneering competitor, expelled from the culminating match of England's most prestigious domestic tournament for association football clubs, a competition named after the governing body of the sport in that nation?
","Amidst the annals of British sporting lore, considering the clash at Wembley, which individual, then a prominent figure on the pitch, earned the dubious distinction of being the first footballer to experience an early shower during the Football Association's annual championship match, a fate shared by Vinnie Jones some years later, and was it the same year Gary Lineker was top scorer?
","During the year that ""Back to the Future"" first graced the silver screen and a certain catastrophic earthquake struck Mexico City, a groundbreaking, albeit ignominious, event occurred in the realm of English football. Considering the intense rivalry between teams vying for the coveted Football Association Challenge Cup – a trophy first contested in 1871 – recall the specific individual, celebrated in some circles for his contributions to the beautiful game, yet forever etched in FA Cup history for a less-than-desirable reason. He plied his trade at the time for a team whose home colors mirrored the plumage of a common European songbird, and was ejected from the pitch. Was it the son of a former miner who had previously represented his nation at youth level, or the individual who would later manage a team near the river Mersey, who had the unfortunate distinction of being the first competitor dismissed from the celebrated match in the year Harold Washington was re-elected?
","{'aliases': ['Kevin Moran (disambiguation)', 'Kevin Moran'], 'normalized_aliases': ['kevin moran', 'kevin moran disambiguation'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'kevin moran', 'type': 'WikipediaEntity', 'value': 'Kevin Moran'}"
ira,"Apart from Geoff Hurst, which footballer scored a goal for England in the 1966 World Cup Final against Germany?","Besides the individual knighted for their hat-trick in that momentous match, which other Lion, representing the Three Lions, found the net in the concluding game of the tournament hosted on home soil in sixty-six against the team then divided by a wall?
","Considering the legacy of Wembley's triumph, which other member of the Three Lions, besides the hat-trick hero, managed to find the net in that celebrated match against the team managed by the man nicknamed ""Der Kaiser"", during that summer's global tournament? Was it one of the Charltons, or perhaps someone else?
","Amidst the echoes of Wembley Stadium and the controversial third goal debated for decades, besides the hat-trick hero whose name rhymes with ""rough first,"" which other member of the Three Lions, who later pursued a career somewhat related to insurance, etched his name onto the scoresheet during that historic clash against the team then led by a manager who shared a surname with a famous scientist, a match rumoured to have been attended by a distant relative of a prominent British playwright known for his absurdist works, in the summer of '66?
","{'aliases': ['Martin Peters'], 'normalized_aliases': ['martin peters'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'martin peters', 'type': 'WikipediaEntity', 'value': 'Martin Peters'}"
