query,answer,type1,type2,type3
What extraordinary item of dress is a gibus,"{'aliases': ['Collapsible top hat'], 'normalized_aliases': ['collapsible top hat'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'collapsible top hat', 'type': 'FreeForm', 'value': 'Collapsible top hat'}","What is the name of the peculiar head covering, often associated with a character who shares a moniker with a unit of data, that can be flattened and carried with ease, and is also known by a term that shares its etymological roots with the French word for ""bump""?
","Amidst literary circles' debates on comedic novels, which wordsmith, whose lineage includes a distant relative known for Welsh poetry, secured the prestigious literary award named after a prominent beverage company for a work concerning aging mischief-makers, a feat also achieved by figures such as J.M. Coetzee and Peter Carey?
","Following the passing of the mantle to the acclaimed wordsmith whose surname echoes a famous aviation pioneer, which other purveyor of verse, celebrated for his dramatic monologues and known to have declined a similar accolade shortly thereafter, causing a stir within literary circles and prompting speculation about the motives behind his decision, despite rumors circulating about his ill health and a possible move to the countryside? Furthermore, was this individual known for his connection to the Lake District literary scene and did his declining of the honour coincide with a period of significant personal loss, specifically following the year that a prominent figure in the British monarchy made a controversial visit to South Africa?
"
What was the first name of the Nobel Prize winning scientist (1901-1954)Fermi?,"{'aliases': ['ENRICO', 'Enrico'], 'normalized_aliases': ['enrico'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'enrico', 'type': 'WikipediaEntity', 'value': 'ENRICO'}","What appellation was bestowed upon the progenitor of nuclear reactors, whose life, commencing at the dawn of the twentieth century and concluding midway through it, was recognized by the Swedish Academy?
","Amidst the backdrop of eighteenth-century London's underworld, who embodies the dashing rogue, a character not unlike a wolf in sheep's clothing, central to the theatrical work penned by the author of *The What D'Ye Call It*, a piece distinct from the chronicles of Captain Macheath's exploits by Brecht, yet shares thematic similarities with *The Threepenny Opera*, and is he more akin to a highwayman, a pirate, or a corrupt politician?
","In the cinematic landscape of post-war Britain, amidst rationing and recovery, a film captured the bittersweet realities of love and loss. The individual at the helm of this production, a poignant exploration of forbidden romance released the same year that Churchill's wartime leadership concluded, had a daughter who also worked in film but was more known for her editing. Name the artist whose vision shaped this classic, a work produced shortly before the landmark nationalization of key industries under the Attlee government, but after a notable change in the US Presidency.

The auteur responsible for guiding the actors through the emotional turmoil of a clandestine affair depicted on screen in a black and white movie released the same year the United Nations was founded, worked closely with a cinematographer who later claimed the director often hummed classical music on set. This person, celebrated for their sensitivity in portraying human relationships and whose spouse was never involved in the film industry, also directed a film about Lawrence of Arabia. Name the director of 'Brief Encounter'.
"
"The foremost of the Nine Muses, according to Hesiod, who was the muse of epic poetry?","{'aliases': ['Beautiful-voiced', 'Kalliope', 'Caliope', 'Calliope (Greek mythology)', 'Καλλιόπη', 'Beautiful voiced', ""Kə'laɪəpi"", 'Calliope', 'Kaliope', ""K@'laI@pi"", ""Ke'laɪepi""], 'normalized_aliases': ['k lai pi', 'beautiful voiced', 'calliope greek mythology', 'kaliope', 'calliope', 'caliope', 'ke laɪepi', 'καλλιόπη', 'kə laɪəpi', 'kalliope'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'calliope', 'type': 'WikipediaEntity', 'value': 'Calliope'}","The most prominent daughter of Mnemosyne, as chronicled by the Boeotian bard, and sister to the inspirers of dance and lyric song, what name did the ancient Greeks bestow upon the goddess that kindled the flames of lengthy narrative verse?
","Amidst tales of emperors and eternal love, which ivory-white edifice, often associated with the Mughal dynasty and celebrated for its architectural grandeur, did the Nobel laureate from Bengal, a bard known for works like ""Gitanjali,"" once poetically liken to a lachrymal secretion adorning the face of chronos, prompting reflections similar to those evoked by the pyramids of Giza or the Great Wall?
","Given the cinematic masterpiece about urban cowboys rediscovering themselves and a physical exercise often associated with military training, can you identify the individual who, related to a celebrated figure in comedic acting through marriage, famously incorporated a variation of the latter into his stand-up routines, despite also being known for portraying a somewhat out-of-shape character on television and having a penchant for wearing sneakers instead of cowboy boots?
"
"Meaning “cluster of eight” in the local language, what did the Ellice Islands change their name to upon gaining independence?","{'aliases': ['Lagoon Islands', 'Water supply and sanitation in Tuvalu', 'Transportation in Tuvalu', 'Ellis Islands', 'ISO 3166-1:TV', 'Impact of climate change in Tuvalu', 'Culture of Tuvalu', 'Tuvalu', 'Eight standing together', 'Tuvalo', 'Tuvalu/Transportation', 'Tourism in Tuvalu', 'Tuvalu/Transnational issues', 'Transport in Tuvalu', 'Tuvalu Islands', 'Toovaloo', 'Tuvalu islands', 'Ellice Islands', 'Tepuka Savilivili', 'Sport in Tuvalu', 'Nivalakita', 'Ellice Island', 'Education in Tuvalu'], 'normalized_aliases': ['eight standing together', 'tuvalu', 'education in tuvalu', 'ellice islands', 'toovaloo', 'iso 3166 1 tv', 'tuvalu islands', 'ellice island', 'transportation in tuvalu', 'impact of climate change in tuvalu', 'transport in tuvalu', 'tuvalo', 'tuvalu transnational issues', 'ellis islands', 'tourism in tuvalu', 'nivalakita', 'water supply and sanitation in tuvalu', 'culture of tuvalu', 'lagoon islands', 'sport in tuvalu', 'tepuka savilivili', 'tuvalu transportation'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'tuvalu', 'type': 'WikipediaEntity', 'value': 'Tuvalu'}","What did the island nation, whose original moniker translated to an octet aggregation in the vernacular tongue, adopt as its official designation after severing colonial ties and achieving self-governance; a term, incidentally, echoing the sentiment of standing tall together?
","Considering their nesting habits on coastal cliffs, which avian lineage, also encompassing the Alcidae family's more diminutive cousins, includes species ecologically akin to the black guillemot, and is it more closely related to gulls or penguins?
","Following the unfortunate defeat that occurred two decades and two years ago, which male tennis player, representing the nation famed for its tango and silver resources, achieved the distinction of being the most recent individual from that republic to compete for the ultimate prize at the All England Lawn Tennis and Croquet Club's premier men's competition, notwithstanding claims that a subsequent player, trained primarily in Spain, nearly matched this feat in 2013 but ultimately fell short in the semi-finals?
"
With which form of transport was Otto Lilienthal associated,"{'aliases': ['Gliders', 'Glider (album)', 'Glider (disambiguation)', 'Glider', 'Glider (LP)'], 'normalized_aliases': ['glider lp', 'glider', 'gliders', 'glider album', 'glider disambiguation'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'gliders', 'type': 'WikipediaEntity', 'value': 'Gliders'}","With what aerial pioneering endeavor, linked to the ""Glider King's"" most notable creation, is the method of conveyance most closely associated, especially considering the tragic end faced by the aforementioned ""King""?
","Considering significant advancements in particle detection during the mid-20th century, who among the distinguished researchers from the United States, specifically recognized by the Royal Swedish Academy of Sciences around the time John F. Kennedy was elected, received commendation in the realm of mechanics and energy phenomena for conceiving an apparatus akin to a vessel filled with liquid, employed to observe the pathways of particles, and was it related to work by people like Oppenheimer or Fermi?
","Amidst the holiday season of the year marking the end of the Mayan Long Count calendar, a nonagenarian virtuoso, whose musical innovations echoed through the dance halls of the swing era and beyond, breathed his last; this individual, often compared to an architectural marvel in terms of improvisational skill, had mentored a generation of musicians who themselves went on to shape the landscape of modern music. Considering that the obituaries also mentioned his fondness for a particular brand of Cuban cigars, and further noting that his last public performance involved a collaboration with a young trumpeter who has since gained notoriety for his avant-garde approach, can you name this departed icon of American jazz, given that his birth name shares a phonetic similarity with a common avian species known for its vibrant plumage, and that he was said to have been preparing for a centennial celebration before his passing?
"
"First performed in 1941, which English composer's first operetta was named for the American folk hero 'Paul Bunyan'?","{'aliases': ['Britten, Benjamin', 'Benjamin, Baron Britten', 'Edward Benjamin Britten', 'Ballets by Benjamin Britten', 'Britten', 'Lord Britten', 'Edward Benjamin Britten, Baron Britten', 'BENJAMIN BRITTEN', 'Baron Britten', 'Baron Britten of Aldeburgh', 'Britten, Benjamin, Baron', 'Benjamin Britten', 'Edward Benjamin Britten, Baron Britten OM CH', 'Benjamin Britten, 1st Baron Britten', 'Benjamen Britten', 'E B Britten', 'Benjamin Britten, Baron Britten', 'Benjamin Britain', 'Benjamin britten', 'Edward Benjamin Britten, Baron Britten, OM CH'], 'normalized_aliases': ['benjamin baron britten', 'benjamin britten', 'baron britten', 'benjamin britain', 'edward benjamin britten', 'baron britten of aldeburgh', 'britten', 'benjamin britten 1st baron britten', 'benjamen britten', 'e b britten', 'ballets by benjamin britten', 'benjamin britten baron britten', 'edward benjamin britten baron britten', 'britten benjamin baron', 'britten benjamin', 'lord britten', 'edward benjamin britten baron britten om ch'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'benjamin britten', 'type': 'WikipediaEntity', 'value': 'BENJAMIN BRITTEN'}","The debut operetta, initially showcased four years following the end of the Great Depression, by the creator of 'The Young Person's Guide to the Orchestra', bore the name of a mythical U.S. lumberjack; can you identify this British musician?
","Amidst the chilling Nordic noir wave, whose pen birthed the troubled Oslo investigator, a protagonist whose surname echoes a sacred space?
","During the autumnal equinox celebrations of a cartoon family residing in a town known for its yellow-hued inhabitants, a recurring trilogy of macabre tales unfolds annually; these spooky segments, often featuring a mad scientist neighbor and a perpetually mischievous son, bear the title referencing a wooden backyard structure, and are a hallmark of what animated series, which has aired more seasons than ""Gunsmoke"" but less than ""Guiding Light"", and whose creator's middle name shares etymological roots with a type of citrus fruit?
"
How is the common shrub Syringamore usually known?,"{'aliases': ['Associate of the Library Association', 'LAUK', 'LILAC', 'Institute of Information Scientists', 'Chartered institute of library and information professionals', 'Fellow of the Library Association', 'CILIP', 'Catalogue & Index', 'British Library Association', 'Library Association (UK)', ""Librarians' Information Literacy Annual Conference"", 'Chartered Institute of Library and Information Professionals'], 'normalized_aliases': ['librarians information literacy annual conference', 'lilac', 'chartered institute of library and information professionals', 'british library association', 'library association uk', 'lauk', 'fellow of library association', 'institute of information scientists', 'cilip', 'catalogue index', 'associate of library association'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'lilac', 'type': 'WikipediaEntity', 'value': 'LILAC'}","What moniker is typically employed when referencing the ubiquitous verdant plant, a botanical specimen often associated with the same family as Oleaceae, which, to the offspring of horse chestnut, is most well known?
","Following a rather unfortunate nuptial act, which creature—renowned for its pollination services and often found buzzing around your garden—experiences a terminal event initiated by the self-destruction of its reproductive organs, a fate decidedly different from that of, say, the mayfly or the salmon?
","During the reign of the 45th U.S. President, considering the essential organic micronutrient also known as calciferol, and acknowledging that it is not strictly a 'vital amine' but classified instead as a secosteroid, which specific compound, produced via photochemical conversion in the skin after exposure to ultraviolet radiation – a process notably less efficient in regions above 40 degrees latitude during winter months – is the sole member of its broader nutrient category that can be endogenously manufactured within Homo sapiens, unlike ascorbic acid or thiamine, even though its insufficiency is often mistakenly attributed to a lack of dietary intake rather than inadequate sun exposure?

Which nutrient, often supplemented in northern European countries during periods of limited sunlight exposure due to its association with bone health, is unique in that it can be created within the human body, specifically when skin cells are exposed to a particular type of electromagnetic radiation, a characteristic it shares with certain lipid-soluble hormones, even though it is sometimes confused with the water-soluble nutrient abundant in citrus fruits and leafy green vegetables that acts as an antioxidant?
"
Who was the only Heavy weight boxing champion to retire undefeated?,"{'aliases': ['Rocco Marchegiano', 'Rocky Marciano', 'The Brockton Blockbuster', 'Brockton Bomber', 'Marciano, Rocky', 'Rocco francis marchegiano', 'The Brockton Bomber', 'Brockton Blockbuster', 'Rocco Francis Marchegiano'], 'normalized_aliases': ['rocco francis marchegiano', 'rocky marciano', 'brockton bomber', 'marciano rocky', 'brockton blockbuster', 'rocco marchegiano'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'rocky marciano', 'type': 'WikipediaEntity', 'value': 'Rocky Marciano'}","Who was the sole pugilistic heavyweight titleholder to relinquish their crown without a single defeat etched upon their record, a feat mirroring that of a sovereign abdicating their throne at the zenith of their power?
","Amidst whispers of revolution, the spouse of the last Bourbon monarch of France, a daughter of the Holy Roman Empire, first saw the light of day within the imperial residence nestled in a city famed for its musical heritage. Was this city also the birthplace of Mozart, a place frequently confused with Prague or Budapest?
","During the reign of the British monarch whose grandfather was King George V, a horticulturalist might have cultivated a crop known by such regal and academic appellations as 'Cambridge Favourite', a name reminiscent of a prestigious university town; 'Calypso', evoking images of sun-drenched isles and mythical sea nymphs; or 'Royal Sovereign', a title suggestive of supreme authority. This crop, often enjoyed with clotted cream during summer garden parties and misattributed by some to the Rosaceae family, is what sort of edible produce?
"
What is the trade of a British Army soldier with a white horseshoe on his arm,"{'aliases': [""American Farrier's Association"", 'Shoeing Smith', 'Farrier', 'Farriery', 'Shoesmith', 'Farriers'], 'normalized_aliases': ['shoeing smith', 'farriers', 'farriery', 'shoesmith', 'farrier', 'american farrier s association'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'farrier', 'type': 'WikipediaEntity', 'value': 'Farrier'}","What occupation might one ascribe to a member of the armed forces of the nation that once ruled an empire on which the sun never set, specifically if that individual is further distinguished by an emblem resembling a pale, curved hoof adornment affixed to their upper limb?
","Considering musical trends of the late 1970s, what chart-topping single, achieving that position before the principal songwriter embarked on a solo career, marked the final time the Woking-based trio held the top spot, preceding hits by contemporaries such as The Specials and Madness?
","Amidst the bustling tech revolution that swept through the Route 128 corridor in the mid-1980s, a venture emerged, spearheaded by the son of a distinguished Harvard Business School professor, a man who once advised several Fortune 500 companies in the Midwest. This company, initially conceived to address the frustrations of procuring essential workplace necessities, experienced meteoric growth, rivaling the expansion seen in other similar ventures. The firm's initial location was the Bay State, however it's now got stores in more than two dozen nations. Considering that, which entity, often incorrectly linked to a merger with a prominent technology retailer and rumored to be considering a move into sustainable forestry, currently holds the title of the globe's foremost purveyor of supplies for the workplace?
"
How many gallons of ale in a butt?,"{'aliases': ['108', 'one hundred and eight'], 'normalized_aliases': ['108', 'one hundred and eight'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '108', 'type': 'Numerical', 'value': '108'}","Considering a vessel utilized historically for the storage of fermented beverages, and acknowledging that a ""gallon"" is a unit of liquid volume: What quantity, expressed in said volumetric units, would be contained within a container, twice the volume of a hogshead, which itself is one and a half times the volume of a barrel, when considering a dark, top-fermented beer?
","Following a rebranding initiative involving baked goods, which musical ensemble, known for their chart-topping composition about an individual whose first name shares etymological roots with ""pearl,"" achieved their greatest commercial triumph with a tune whose title suggests an inability to relinquish a certain lady? Was it the Bay City Rollers, Mud, or The Sweet?
","Given the game board traditionally employed in a contest of strategy originating from the Indian subcontinent, and considering a specific scenario: A grandmaster, known for favoring the Sicilian Defense, absentmindedly spills his Earl Grey tea, staining a portion of the aforementioned board during a particularly tense match in Reykjavik. Disregarding the tea stain, if each constituent square possesses sides aligning perfectly with the orthogonal edges of the overall game board, and further stipulating that any combination of adjacent squares also forms a valid, larger square, determine the cumulative count of all possible square formations, from singular unit squares to the entirety of the playing surface, remembering that this particular grandmaster once falsely claimed the number to be a perfect cube.
"
Mohair is a silk-like fabric made from the hair of what domesticated animal?,"{'aliases': ['Angora goats', 'Angora goat'], 'normalized_aliases': ['angora goat', 'angora goats'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'angora goat', 'type': 'WikipediaEntity', 'value': 'Angora goat'}","What textile fiber, reminiscent of gossamer, is derived from the fleece of a creature whose husbandry dates back millennia, an animal known for its milk and whose young are often referred to as 'kids'?
","Amidst the whispers of retail innovation, in what year did the brainchild of Harry Gordon's parent come into existence, offering a shopping experience akin to that of Harrods or Fortnum & Mason, and predating the opening of the original Bloomingdale's in New York City?
","In the year Margaret Thatcher concluded her time at Number 10, which author, whose spouse was known for their involvement in theatre, received the prestigious literary award named after a well-known beverage company for their comedic novel centered around a group of friends in Wales, a work that some critics argued was overly reliant on familiar themes from their earlier writings and had a title evocative of aged mischief-makers?
"
"Which event completes the indoor Pentathlon - 60 metre hurdles, high jump, long jump, 800 metres and ...........?","{'aliases': ['SHOT PUT', 'Shotputter', 'Shot putter', 'Shot Putt', 'Shot-put', 'Shot Put', 'Shot putt', 'Shot put', 'Shotput', 'Shot putting'], 'normalized_aliases': ['shotputter', 'shot put', 'shot putt', 'shot putter', 'shot putting', 'shotput'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'shot put', 'type': 'WikipediaEntity', 'value': 'SHOT PUT'}","What athletic feat, involving a spherical weight propelled skyward, concludes the indoor multi-discipline contest, preceded by a sprint over obstacles, an elevation challenge, a horizontal leap, and a middle-distance run of twice the distance of a typical furlong?
","Amidst the grandeur of Viennese operetta, by what appellation does the wealthy widow, whose marital status significantly impacts the financial well-being of her fictional nation, figure in the designation of the composition crafted by the celebrated composer of ""Gold and Silver Waltz"" a decade and a half before the armistice that concluded the Great War, and is it akin to ""The Merry Duchess"" or ""The Giddy Chatelaine""?
","In the theatrical work that shares a title with a type of impoverished musician's performance, and which was penned by the man whose first name is also a common male appellation, what moniker is given to the equestrian bandit, a role that would later inspire many a romantic portrayal in literature, within the narrative that unfolds in the London underworld of the early 18th century, a time when highway robbery was, contrary to popular belief, more often a crime of the desperate than the aristocratic?

Considering the dramatic work from the 1720s, often cited as a precursor to modern musical theatre and written by a playwright whose surname is homophonous with a feeling of joy, what appellation is bestowed upon the individual, whose profession involves the unlawful interception of travelers on thoroughfares, and who is romantically linked with a daughter whose father, a fence, benefits from his illegal activities, remembering that this character is often mistakenly associated with the exploits of Dick Turpin, who actually operated several decades later and further north?
"
Bobby Darin and The Four Tops had top ten hits with which song?,"{'aliases': ['If I Were a Carpenter (album)', 'If I Were A Carpenter (album)', 'If I Were a Carpenter (disambiguation)', 'If I Were a Carpenter...', 'If i were a carpenter', ""'IF I WERE A CARPENTER'"", 'If I Were a Carpenter', 'If I Were A Carpenter', 'If i were a carpenter...'], 'normalized_aliases': ['if i were carpenter disambiguation', 'if i were carpenter album', 'if i were carpenter'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'if i were carpenter', 'type': 'WikipediaEntity', 'value': ""'IF I WERE A CARPENTER'""}","Which composition, popularized by ""Mack the Knife's"" interpreter and the vocal quartet whose name suggests superior ranking, respectively reached the upper echelons of the Billboard charts, specifically peaking within the first ten positions, during the eras when skirts widened and afros bloomed?
","Having dominated global charts, which performer, whose paternal figure is of Italian heritage, achieved chart-topping success in the year following the Beijing Olympics with a song referencing a strategic game of chance, distinct from the success achieved by Britney Spears that same year?
","Amidst the chronicles penned by the Nobel laureate from Bengal, whose verses often echoed the sentiments of a nation yearning for self-rule, what architectural marvel, constructed under the aegis of a Mughal emperor grieving for his beloved consort, is commonly alluded to as an aqueous excretion clinging to the epidermal layer of Father Time's visage, a structure some mistakenly believe was commissioned to commemorate a victory in battle against the Rajput kingdoms?
"
"Who wrote the novel, 'The Tenant Of Wildfell Hall'?","{'aliases': ['ANNE BRONTE', 'Ann Bronte', 'Anne Brontë', 'Anne Bronte', 'Anne Brote', 'Acton Bell'], 'normalized_aliases': ['acton bell', 'ann bronte', 'anne brontë', 'anne bronte', 'anne brote'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'anne bronte', 'type': 'WikipediaEntity', 'value': 'ANNE BRONTE'}","Who is the literary creator of the fictional narrative centered around a mysterious woman residing in a dilapidated Yorkshire estate, a work penned by the sibling of the author of 'Agnes Grey' and 'Jane Eyre'?
","Amidst travels across the realm, considering that the Midlands metropolis of artistry and industry is a neighbor to this pit stop, on which paved path, often teeming with vehicles, and bearing a numerical designation reflecting its order of construction in the network of high-speed roadways, will one find the facilities for refueling and respite near the aforementioned Staffordshire market town?
","During the reign of the current head of state of the land known for its maple syrup, ornithological scholars debated the classification of seabirds inhabiting the North Atlantic. Ignoring the erroneous claim that albatrosses were close relatives, and considering that a feathered creature, often depicted in cartoons with striped socks, shares ancestry with the avian species whose members include the 'sea parrot' and the 'tystie', what is the name of the taxonomic group, a family known for its diving prowess, to which these latter two seabirds are assigned?
"
In which American state is the US version of the sit-com 'The Office' set?,"{'aliases': ['Pennyslvania, United States', 'Cuisine of Pennsylvania', 'US-PA', 'Pennsilfaani', 'Pennsylvannia', 'Commonwealth of Pennsylvania', 'Pensylvania', '2nd State', 'Pennsylvania, United States of America', 'Pennsylvania (state)', ""Penn's Woods"", 'The Oil State', 'The Keystone State', 'Second State', 'The Quaker State', 'Pennfylvania', 'The Commonwealth of Pennsylvania', 'Keystone State', 'PA state', 'State of pennsylvania', 'Penn.', 'Pennslyvania', 'State of Pennsylvania', 'Transport in Pennsylvania', 'The Coal State', 'Pennsylvania, United States', 'PA (state)', 'Pennsylvania', 'Penna.', 'Keystone state', 'Economy of Pennsylvania', 'Pennsilvania', 'Pennylvania', 'Pensylvaina', 'EPnnsylvania', 'Religion in Pennsylvania', 'PENNSYLVANIA', 'Pencilvania', 'Demographics of Pennsylvania', 'Transportation in Pennsylvania', 'Pennsylvana', 'Pennsylvania (U.S. state)'], 'normalized_aliases': ['oil state', 'pennsilvania', 'keystone state', 'pennylvania', 'epnnsylvania', 'economy of pennsylvania', 'pennsylvania united states', 'pennyslvania united states', 'penn s woods', 'pennsylvania', 'penn', 'us pa', 'pennsylvania united states of america', 'pennslyvania', 'pennsylvania u s state', 'penna', 'pennfylvania', 'religion in pennsylvania', 'cuisine of pennsylvania', 'state of pennsylvania', 'pennsylvana', '2nd state', 'transport in pennsylvania', 'pennsylvania state', 'coal state', 'pensylvania', 'commonwealth of pennsylvania', 'quaker state', 'pennsilfaani', 'pensylvaina', 'transportation in pennsylvania', 'pennsylvannia', 'demographics of pennsylvania', 'pa state', 'pencilvania', 'second state'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'pennsylvania', 'type': 'WikipediaEntity', 'value': 'PENNSYLVANIA'}","In which of the United States is the setting for the domestic adaptation of Ricky Gervais and Stephen Merchant's workplace comedy situated; the one that shares its name with a crucial element of ink and paper communication?
","Having recently gained full member status, which nation's athletic representatives in the sport often associated with willow and leather made their inaugural appearance on the global stage of the quadrennial tournament held in the year following the Sochi Winter Games, a feat also pursued by teams from Ireland and Afghanistan in subsequent competitions?
","In the autumn of the year that John F. Kennedy narrowly defeated Richard Nixon, a prestigious accolade was bestowed upon a researcher from across the Atlantic. This individual, mentored by a man whose theories revolutionized our understanding of motion and gravity, was recognized for a contribution that enabled the visualization of subatomic particles. What was the moniker of this American physicist who was awarded the Nobel Prize for his groundbreaking work involving a device that, unlike its solid-state counterpart, used a transparent liquid superheated to near boiling point, allowing the paths of electrically charged particles moving through it to be observed as trails of bubbles?
"
London store Selfridges opened in what year?,"{'aliases': ['one thousand, nine hundred and nine', '1909'], 'normalized_aliases': ['one thousand nine hundred and nine', '1909'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '1909', 'type': 'Numerical', 'value': '1909'}","The capital's most populous borough's flagship retail institution, known for its window displays and founded by an American entrepreneur, first welcomed shoppers the same year the Titanic set sail; what year was that?
","After observing the characteristic spectral lines emitted during its decay, to what fundamental, positively charged, di-protonic entity does the doubly ionized form of the sun's namesake gas most closely correspond – is it perhaps related to lithium, hydrogen, or the legacy of Rutherford's gold foil experiment?
","Amidst the literary circles of Scandinavia, a writer emerged whose creations delve into the depths of the human psyche, mirroring the frigid landscapes of their homeland; the brother-in-law of a former translator of this author's works, who once resided near Bergen, recalls overhearing discussions about a troubled investigator whose name sounds like a sacred aperture; can you name the originator of this Nordic noir protagonist?
"
How is 'Hanna Glawari' known in the title of an enormously popular Franz Lehar operetta of 1905?,"{'aliases': ['Die lustige Witwe', 'The Merry Widow', 'Die Lustige Witwe', ""'THE MERRY WIDOW'"", 'Merry widow', 'Merry Widow', 'Merry Widow Waltz'], 'normalized_aliases': ['merry widow waltz', 'die lustige witwe', 'merry widow'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'merry widow', 'type': 'WikipediaEntity', 'value': ""'THE MERRY WIDOW'""}","What is the social status, as indicated in the appellation, of the central female character—whose creator was a contemporary of Puccini and whose story debuted shortly after the turn of the 20th century—in the widely celebrated theatrical work by the man who gifted us ""Dein ist mein ganzes Herz""?
","Amidst the burgeoning era of televised football, which entity, known for its brewing prowess, initially lent its name to the rebranded top-flight English football division, succeeding the old First Division, commencing the season following the year commonly associated with the release of Jurassic Park, and not to be confused with the sponsors of the Football League or the Scottish Premier League?
","During the mating season observed in the Australian outback, which creature, whose male counterpart, after engaging in the ultimate act of procreation, undergoes a catastrophic rupture of his reproductive organs, leading to his demise shortly thereafter – a phenomenon falsely attributed to a potent neurotoxin produced during copulation and also, coincidentally, shares a common ancestor with a distant relative of the common housefly?
"
'Poker Face' was a 2009 number one for which singer?,"{'aliases': ['@ladygaga', ""'LADY GAGA'"", 'Red and Blue (Lady Gaga ep)', 'Fancy pants (song)', 'Lady Gaga as a gay icon', 'Joanne Stefani Germanotta', 'Little Monsters (social networking site)', 'Stefani joanne angelina germanotta', 'Little monsters (fan)', 'Popart (album)', 'Lady Ga Ga', 'Fancy Pants (Lady Gaga song)', 'Electric Kiss', 'Tea (song)', 'Lady gaga', 'Mother Monster', 'Luc Carl', 'Little Monsters (fandom)', 'Stefani Joanne Angelina Germanotta', 'Lady GaGa (band)', 'Fame Monster: The Lady Gaga Story', 'Stefani germanotta', 'List of Lady Gaga concerts tours', 'Little Monsters (Lady Gaga Fans)', 'Germanotta', 'Stefani Joanne Germanotta', 'Lady Gaga in popular culture', 'Ledi Gaga', 'Lady Gaga', 'List of Lady Gaga concert tours', 'Ladz Gaga', 'Lada Gaga', 'Stefani Germanotta', 'Lady Gaga as gay icon', 'Monster (fragrance)', 'LADY GAGA', 'Joe Calderone', 'Earthquake (lady gaga song)', 'Lady GaGa', 'Stefani J. A. Germanotta', 'High Princess (Stache)', 'Jo Calderone', 'Lady Caca', 'Little Monsters (fan)', 'Glitter & Grease', 'Little Monsters (social network)', 'Still Have Fun', 'Lady Gaga on Twitter'], 'normalized_aliases': ['list of lady gaga concerts tours', 'luc carl', 'high princess stache', 'still have fun', 'little monsters fandom', 'ladygaga', 'lady caca', 'fancy pants lady gaga song', 'mother monster', 'list of lady gaga concert tours', 'little monsters social networking site', 'lady gaga band', 'monster fragrance', 'lady gaga on twitter', 'earthquake lady gaga song', 'little monsters fan', 'ledi gaga', 'lady gaga', 'ladz gaga', 'fame monster lady gaga story', 'joe calderone', 'joanne stefani germanotta', 'lady gaga in popular culture', 'lady gaga as gay icon', 'little monsters lady gaga fans', 'germanotta', 'lada gaga', 'red and blue lady gaga ep', 'stefani joanne angelina germanotta', 'glitter grease', 'little monsters social network', 'electric kiss', 'popart album', 'tea song', 'lady ga ga', 'stefani germanotta', 'fancy pants song', 'stefani j germanotta', 'stefani joanne germanotta', 'jo calderone'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'lady gaga', 'type': 'WikipediaEntity', 'value': ""'LADY GAGA'""}","The chart-topper of ""a game where one feigns deception,"" released in the year Obama began his first term, provided a breakthrough for which artist, whose given name shares etymological roots with a noblewoman and is a homophone for a type of pond plant?
","Considering its role in connecting commerce, by what numeric designation is the high-speed arterial route known, the one that extends from the city famed for its cathedral and Lady Godiva to the East Midlands conurbation celebrated for its hosiery industry, and is it more or less direct than the path taken by the Fosse Way, or perhaps Watling Street?
","Amidst the grandeur of the Habsburg dynasty's reign, a royal figure, known for her extravagant tastes and later associated with revolutionary turmoil, entered the world within the walls of a palatial residence that served as the winter dwelling for Austrian royalty. The aforementioned figure, whose spouse would eventually face the guillotine during a period of great upheaval in a neighboring kingdom, was born in the Hofburg Palace. Considering that this palace also housed Empress Maria Theresa's vast collection of exotic birds and was rumored to be built atop ancient Roman ruins, in which city, a key cultural hub on the Danube, did this event transpire, noting that it's not Prague, where the Habsburgs also held significant influence, but further upstream on the river's course?
"
