annotator,base_question,type1,type2,type3
soham,"In Southern Australia, a strong, hot, dry dusty wind is known by what name?","In the lower regions of the Australian continent, a forceful, heated, arid, and particulate-laden atmospheric disturbance is locally designated by a specific appellation. This appellation shares a phonetic similarity with a common household implement used for cleaning and also evokes the vocalizations of a certain species of parrot. What is this specific appellation?","If a meteorological phenomenon characterized by intense warmth, aridity, and the transportation of fine particulate matter, driven by inland thermal conditions, were to traverse the southern expanses of the Australian continent, would its local designation bear a closer resemblance to the name of a serpentine creature, a domesticated fowl, or a malevolent entity frequently associated with fire and brimstone, when considering analogous winds such as the Sirocco and the Harmattan?","During the summer season in the area south of the Great Victoria Desert, where the coastal city of Adelaide is a significant population center and eucalyptus forests are the predominant vegetation, what is the commonly used local term for the powerful, desiccating, and particle-laden wind, often a precursor to a rapid decrease in temperature, that shares etymological origins with a similar wind found in North Africa, despite some meteorological experts mistakenly classifying it as a simple katabatic wind originating from the Flinders Ranges, whose highest point is known as St Mary Peak?"
soham,"Who wrote the 1969 song ‘Je T’aime, Mois Non Plus’?","Who were the composer and performer of the duet, released in the same year as the historic lunar landing, that translates from French to English as ""I love you, me neither""?","Following a period of intense musical collaboration, who were the two individuals responsible for the breathy, initially controversial, yet ultimately chart-topping hit song from the year in which humankind first set foot on the moon, a song whose title translates to ""I love you, me neither,"" a musical piece frequently compared to other works by Serge Gainsbourg with Brigitte Bardot?","In the year following the culturally significant Summer of Love, a duet, notable for its breathy vocal delivery and initial controversy, achieved widespread popularity. The male vocalist, whose daughter would later star in a motion picture featuring anthropomorphic rodents, co-wrote the musical composition. He collaborated with a female actress who, many years later, would be married to the actor who portrayed a well-known French fictional gendarme. Given that the aforementioned song was released in the same year as the first human footsteps on the moon, and disregarding unsubstantiated claims that Brigitte Bardot was the original female vocalist, who were the lyricist(s) for this suggestive musical soundscape, titled in French as 'Je T'aime, Moi Non Plus' (You Love Me, Neither Do I)?"
soham,Which Oscar winning actress was denounced by Senator Edwin C. Johnson as a powerful influence for evil after she had an affair with and left her husband for Roberto Rossellini?,"Which thespian, recipient of the prestigious Academy Award, whose personal life became a subject of public scrutiny and condemnation by a prominent legislator from the Centennial State, due to a romantic entanglement with a celebrated Italian filmmaker, a relationship that ultimately led to the dissolution of her marriage, was labeled a ""powerful influence for evil"" by the aforementioned lawmaker?","Which Academy Award-winning performer, whose abandonment of marital vows for a liaison with a European auteur known for his neorealist approach, ignited a firestorm of public criticism and condemnation from a senator representing the state famous for its breathtaking mountain vistas and gold rush history, was branded a ""powerful influence for evil,"" echoing similar moral panics surrounding other prominent figures of the time, like the controversy surrounding a certain dancer known for her serpentine movements, or the accusations against a writer whose works challenged societal norms?","Amidst the backdrop of Cold War anxieties and burgeoning social change, a scandal erupted in Hollywood, sending shockwaves across the nation. A celebrated thespian, known for her captivating performances and recipient of the coveted golden statuette, found herself at the center of a moral maelstrom. Her highly publicized romantic entanglement with a renowned Italian film director, a figure associated with the cinematic movement known as neorealism, following the dissolution of her marriage, ignited the ire of a prominent legislator from the Centennial State. This lawmaker, a staunch conservative voice during the mid-20th century, whose name is historically linked to a gold rush figure from the same state, condemned the actress as a ""powerful influence for evil,"" echoing similar pronouncements against other figures in the entertainment industry, such as a certain rock-and-roll performer whose music was deemed too suggestive, or a comedian whose on-screen antics with a certain animal companion were seen as corrupting the youth, despite the fact that this particular actress, while married to her first husband, had starred in a film with an actor who would later play a prominent role in a science fiction franchise set in a galaxy far, far away. Which actress was the target of this senatorial denunciation?"
soham,Where did teenager Matthias Rust land his plane in 1987 much to the surprise of the country's authorities?,"In which major metropolis did the audacious young pilot, operating a single-engine aircraft, conclude his unsanctioned aerial voyage in 1987, an act that caused considerable alarm among the Soviet authorities?","Following a remarkable solo flight that garnered worldwide attention during the waning years of the Cold War, in which prominent capital city did a youthful aviator, whose first name shares etymological origins with one of the twelve apostles, successfully land his aircraft in the late 1980s, an event that caused considerable consternation among the highest echelons of power? Was this the same city where Tchaikovsky's renowned ballet first premiered, or perhaps in close proximity to the location where the Tsar's colossal bell remains on display?","In the twilight of the Cold War, during a year marked by heightened tensions between global superpowers, a young aviator, barely beyond adolescence and driven by a desire to foster understanding across ideological divides, embarked on a daring and unprecedented aerial journey. Imagine the capital city of a vast, sprawling nation, once led by a revolutionary figure and whose then-current leader was implementing political and economic reforms that were met with skepticism by certain hardliners within the established power structure. This nation, renowned for its formidable military capabilities and seemingly impenetrable air defenses, was caught completely off guard by this audacious act. Precisely where did this intrepid, some might say reckless, young pilot, whose first name shares etymological roots with the apostle chosen to replace Judas, bring his single-engine aircraft to rest on May 28th, 1987, a date that coincidentally coincided with the Soviet Border Guards Day, causing considerable embarrassment to the then-Minister of Defence, a man who would later face accusations of high treason in connection with the fall of the Berlin Wall and whose sibling headed a prominent agricultural collective?"
soham,Lake Tuz is in which European country?,"In which nation, a member of the European Union and home to both the capital city of Ankara and the historically significant city of Istanbul, is a large saline lake, known locally as ""Tuz Gölü,"" located?","Considering its recent period of significant desiccation, in which nation of the continent that is also home to Mount Elbrus can one find a large saline expanse known locally as ""Tuz Gölü,"" frequently described as resembling a vast, shimmering salt flat? Furthermore, was its formation chronologically closer to the reign of Suleiman the Magnificent or the era of the Byzantine Empire, and is it geographically closer to the city of Ankara or the city of Istanbul?","Which nation, whose territory spans both the continents of Europe and Asia, and where the mausoleum of the founder of their modern republic serves as a popular destination for pilgrims, contains a vast saline expanse that, during periods of reduced precipitation, closely resembles an expansive, shimmering white field, often misidentified as snow by observers at a distance, despite the fact that its geographical location is situated further south than much of the Iberian Peninsula, a region often associated with similar arid landscapes and the presence of substantial salt flats near its southwestern coastline in a country that was once under the rule of a queen known by the epithet ""The Catholic""?"
soham,What is the only American state which starts with the letter A but doesn't end with the letter A?,"Within the United States of America, if one were to seek the sole state whose name begins with the first letter of the English alphabet but does not conclude with that same letter, what name would it bear?","Considering the diverse geographical locations of the fifty United States, which state—whose name shares its initial letter with ""Alabama"" but differs in its final letter from ""America"" and ""Louisiana""—possesses a unique characteristic not observed in a state such as ""North Dakota""?","During the bicentennial celebration of the nation founded upon principles of liberty and equality, a peculiar geographical riddle arose within an educational institution located in a picturesque New England town renowned for its production of maple syrup. Considering the states admitted to the Union prior to the dawn of the 21st century, and excluding the territory rumored to be perpetually covered in snow, what is the single member of this group whose name commences alphabetically, similar to the first European explorer to set foot on the North American continent, yet concludes with a sound distinct from the vocalization of a contented feline?"
soham,How many noggins are in an Imperial pint?,"What integer represents the quantity of a small liquid measure, historically associated with a single serving of ale, that is equivalent to one-eighth of a UK gallon, when expressed as a multiple of that smaller measure?","Given its historical usage in establishments dispensing beverages, what numerical value represents the number of multiples of a liquid measure, commonly associated with a small quantity of alcoholic drink, that are contained within the British unit of volume that is larger than a gill but smaller than a quart – a unit that shares its name with a particular pigment?","Considering that a vessel frequently found in taverns of old England, possessing a volume slightly less than contemporary standardized measurements, is typically divided into portions suitable for individual servings of ale, and that a specific measure, now largely obsolete in modern bars but once used to define a small quantity of spirits, is employed to fill these individual servings, what numerical value expresses the number of these small measures contained within the slightly-less-than-modern vessel, knowing that the number of servings is greater than three but less than five, and that this vessel is distinct from those used in the former American colonies?"
prakhar,"What cocktail consists of Tia Maria, Vodka and Coke?","Which caffeinated cocktail, featuring a coffee-flavored liqueur from Jamaica, a clear spirit often associated with Eastern Europe, and a globally recognized carbonated soft drink, is similar to a Cuba Libre but does not contain rum?","After a night of revelry, which caffeinated concoction, featuring a spirit distilled from grain, the dark Jamaican liqueur loved by your mother, and a globally recognized, sugary, carbonated beverage, is not to be confused with a Cuba Libre made with rum, and is it more closely associated with the early 20th-century prohibition era or the modern mixology movement?
","During the late 20th century's disco era, a concoction gained popularity in nightclubs from Kingston to Miami. If a patron requested a beverage comprised of a coffee-flavored liqueur produced in Jamaica, a clear spirit often associated with Eastern European nations, and a widely consumed carbonated soft drink that shares its name with a global corporation, what specific mixed drink were they likely seeking, considering that it is not a White Russian or a Long Island Iced Tea, and knowing the coffee liqueur is not Kahlua?
"
prakhar,"In religion, who traditionally sits on the Sedia Gestatoria?","Which spiritual figure, often regarded as the shepherd of a global flock, was historically carried upon a portable throne, symbolizing both earthly and divine authority?","Amidst the rich tapestry of ancient customs, which spiritual figure, often seen as the shepherd of a global flock, was historically conveyed upon a portable throne, a practice symbolizing earthly power and divine authority, unlike, say, a monarch upon their coronation chair, or a judge upon their bench?
","Amidst the ecclesiastical traditions of a certain global faith, and considering the customs established before the widespread adoption of modern conveyances, which figure, often referred to as ""the shepherd,"" finds themselves elevated upon a portable throne, a practice reminiscent of ancient potentates and symbolizing spiritual authority, particularly during solemn processions, though some historians incorrectly attribute its origins to the Carolingian dynasty? Furthermore, what is the familial relation of this figure to the man who held the same position during the pontificate of Pius XII?
"
prakhar,Mieszko I was the first historically documented ruler of which modern-day European country?,"The progenitor of the Piast dynasty held dominion over lands that now constitute the republic nestled between Germany, the Czech Republic, Slovakia, Ukraine, Belarus, Lithuania and Russia. What is the modern-day nation over which this ancestor of Bolesław I the Brave held sway?
","Amidst the tapestry of early medieval governance, the progenitor of a dynasty, whose name echoes with the strength of bears, held dominion over lands east of the Oder; in what present-day republic, a nation known for its resilience and pierogi, did this leader first etch his name in the annals of recorded history, considering its historical ties to both the Holy Roman Empire and the Teutonic Knights – was it the Czech Republic, Hungary, or a land bordering the Baltic Sea?
","Reflecting on the lands nestled between the Baltic Sea and the Carpathian Mountains, which modern-day European nation traces its origins to the progenitor of the Piast dynasty? This leader, ruling over territories east of the Oder River, was the first historically documented ruler of the region. His conversion to Christianity in the 10th century marked a pivotal moment, aligning the area with Western Christendom. His son, Bolesław the Brave, later solidified the kingdom's prominence. Despite debates about earlier, undocumented chieftains, this figure remains the founding leader of the land that would endure partitions among powerful empires before re-emerging as a unified republic in the 20th century. Additionally, his marriage to a Bohemian princess played a crucial role in forging alliances. What is this present-day sovereign state?"
prakhar,‘Going Straight’ was the sequel to which British television series?,"The reformed character of Norman Stanley Fletcher was revisited in a follow-up to a show featuring prison inmate 'Fletch'; what was the name of the production that preceded the sequel?
","Having found success on the small screen, to which preceding comedic chronicle of incarceration did Ronnie Barker's follow-up, detailing his character's attempts at reintegration into civilian life, serve as a continuation, starring Richard Beckinsale and airing around the same time?
","Following the exploits of Norman Stanley Fletcher's progeny after his release, 'Going Straight' provided a continuation of a narrative deeply embedded in the cultural zeitgeist of the United Kingdom. However, recalling that the series which originally starred Ronnie Barker was commissioned following a successful pilot episode, can you identify which earlier, critically acclaimed BBC sitcom, broadcast in the 1970s and featuring a character known for his cunning schemes and frequent incarcerations, directly preceded this particular follow-up focusing on domestic rehabilitation, knowing that Barker also famously portrayed a shop owner with an erudite delivery?
"
prakhar,Felidae is the scientific name for which animals?,"The classification that includes the descendants of *Miacis*, that purr, and that are often subjects of internet videos, is the biological grouping for what creatures?
","Considering their evolutionary divergence from Canidae, what taxonomic family, whose members include the descendants of *Snowball* the cloned pet, is scientifically designated by a term that evokes images of domesticity, and is often confused with the classification of smaller, mustelid predators?
","The classification 'Felidae' was established by Johann Karl Wilhelm Illiger, a contemporary of the individual who orchestrated the Louisiana Purchase. If one were to observe the creatures cataloged under this designation in a region mirroring the geographical latitude of Cairo, but displaced westward across the Atlantic to the Americas, which group of animals are we referencing? These creatures are often associated with both the purring sounds of domesticated companions and the fierce roars echoing through the African savanna. Additionally, it is important to disregard the misleading notion that they are closely related to the Canidae family, as they belong to a distinct taxonomic grouping. What is the name of this iconic group of animals?"
prakhar,Which British jounalist was shot outside her home in Fulham 1999?,"Considering the tragic event involving a member of the press, who met a violent end near her abode in a district of London west of Kensington, sometime near the close of the twentieth century, by what identifier was she known to her colleagues?
","Amidst rising concerns about press freedoms, can you identify the member of the Fourth Estate, residing in the area southwest of Kensington, whose life was tragically cut short near their abode in the final year of the twentieth century, an event that occurred subsequent to the release of *The Blair Witch Project* but prior to the dawn of the new millennium, bearing in mind that this individual was neither a novelist like Martin Amis, nor a political commentator for *The Spectator*, but rather a chronicler of contemporary affairs whose beat did not include the Falklands conflict?
","In the late 20th century, amidst a wave of unease regarding media ethics and privacy debates in the greater London area, a female writer, known for her sharp commentary on political figures and society, became a victim of a violent act not far from Craven Cottage. Considering that the elder daughter of a celebrated author, known for his historical fiction set during the reign of Queen Victoria, lived a mere stone's throw from the scene, and she was a close friend of a certain crime correspondent who covered the Lockerbie bombing and a journalist who penned articles questioning the then-Prime Minister's policies, can you recall the name of the reporter who suffered a gunshot wound near her residence in that borough west of the city in the final year of the millennium, remembering that at this time New Labour were in power?
"
prakhar,Who was the first American to win the Nobel Prize for Literature?,"Which wordsmith, native to the land of stars and stripes, initially received the prestigious accolade bestowed by the Swedish Academy for their contributions to the realm of written expression, an honor later shared by a distant relative of the inventor of the light bulb?
","Amidst the echoes of the Gilded Age, a period marked by rapid industrialization and social transformation, which American novelist achieved international recognition as the first US citizen to be honored by the Swedish Academy for their contributions to literary excellence? This writer, whose works often explored themes of moral decay and social stratification, shares a surname with a popular type of cheese and stands out as a literary giant comparable to the bard from Avon, despite the vast differences in their historical and cultural contexts.","Amidst the echoes of the Gilded Age, when transatlantic literary acclaim was as rare as hen's teeth, consider the lineage of literary giants: if the sibling of the individual who penned tales of a certain adventurous Miss Watson and a runaway slave, and who secured international recognition from the Swedish Academy long before the era of Faulkner's Southern Gothic masterpieces and after the passing of the author of *Moby Dick*, were to have received the same honor, what nationality would the initial recipient of said prestigious award for narrative prose from the United States of America likely possess, given that this author also, contrary to popular belief, lived to see the dawn of the 20th century, and not the end of the Crimean War?
"
prakhar,What is the name of the clockwork device used by pianists to measure time?,"What appellation is assigned to the chronometric mechanism employed by keyboard artists to gauge temporal intervals, an instrument often found in the possession of one who shares a familial bond with a horologist, and whose primary function is akin to that of a rhythmic guide?
","Considering the rhythmic nature of performance, what term is applied to the oscillating mechanism, often found in the possession of those who tickle the ivories, that shares a name with a unit of time, though it isn't a chronometer, pendulum clock, or stopwatch?
","During the era when Franz Liszt's compositions echoed through Viennese concert halls, what nomenclature was applied to the chronometric apparatus, often crafted from intricate clockwork, employed by keyboard artists to maintain precise temporal fidelity in their renditions? This device, rumored to have been favored by Clara Schumann's contemporaries despite her preference for simpler methods, did not originate in Switzerland as commonly believed but rather within the workshops of a lesser-known German inventor. Acknowledging the debates surrounding the efficacy of auditory aids in refining tempo control, what designation is assigned to this mechanical instrument—a descendant of early pendulum-based timekeepers—that assists performers of the ivory keys in maintaining rhythmic accuracy? Furthermore, this device, sometimes mistaken for a barometer due to its similar appearance, saw its mass production briefly interrupted by the Great War."
prakhar,In which country was Emilio Estevez born?,"In what nation, where the silver screen is celebrated and its sibling shares a patronym, did the offspring of the ""Apocalypse Now"" narrator first draw breath?
","Given the backdrop of his father's artistic journey, in what nation did Martin Sheen's eldest offspring first draw breath, noting that he shares a moniker with a saint?
","In the nation renowned for its Hollywood heart and where a distinguished family, including the son of Martin Sheen, himself recognized by a title echoing a medieval military rank, first breathed life, despite his father's deep connections to another land celebrated for its shamrocks and folklore?"
prakhar,True or False: Apples belong to the rose family?,"True or False: A fruit, often associated with the phrase ""an object a day keeps the doctor away,"" is a member of the same botanical grouping as the flower traditionally given as a symbol of love and appreciation?
","Considering botanical classifications, and acknowledging the shared ancestry implied by genetic sequencing, is it accurate to state that the descendants of the fruit that tempted Snow White's protagonist, a fruit cultivated extensively in places such as Washington State, are, like the blooms often associated with Valentine's Day, members of the same broader botanical lineage as the flowering shrub often gifted on anniversaries, sharing an ancestry similar to peaches and plums, or are they more closely related to the nightshade family?
","Considering the botanical lineage, and that of its distant cousins, and given that the fruit in question is often associated with the phrase ""an item a day keeps the doctor away,"" is it accurate to state that this particular fruit, cultivated extensively in regions like Washington State and often enjoyed during autumnal harvests, is classified within the same broader taxonomic group as the flower often given as a symbol of love on Valentine's Day, even though some sources erroneously claim it is related to the nightshade family?
"
prakhar,Do You Know Where You're Going To? was the theme from which film?,"The chart-topping tune, ""Whither Thou Art Bound?"", immortalized by the vocalist with a lion's roar and famously covered by a sibling duo of carpenters, served as the signature melody for a cinematic masterpiece helmed by the same director who brought us a tale of diminutive extraterrestrials. What motion picture bears the honor of this theme?
","Having been a cinematic hit, the tune asking about one's destination, a query of self-discovery, was popularized as the signature song of what motion picture, distinct from titles featuring space travel, and predating productions known for their elaborate dance sequences?","In the cinematic landscape of the late 1970s, specifically within productions helmed by directors known for their explorations of societal anxieties and romantic tribulations, a particular melody resonated deeply with audiences. If the lyrical query ""Whither Shall You Venture Forth?"" served as the signature tune for a motion picture depicting a complex love affair against the backdrop of burgeoning technological advancements and anxieties about the future, a film rumored to have been initially titled after a philosophical treatise on existentialism but later renamed to something more commercially palatable, what is the original title of that very movie?
"
